CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,9,9,14,63.08,"7,975.00",108.35,150,"7,818.60","8,049.65",750,"39,500.00","18,135",1.30,1.35,"3,450",0.05,1.35,49.20,"45,573",819,"16,458",
,-,-,-,-,-,-,750,"7,162.90","7,751.75",750,"40,000.00","18,285",1.40,1.45,"10,695",-,1.40,46.25,"35,958","4,768","10,845",
,-,-,-,-,-,-,750,"6,277.20","7,236.80",750,"40,500.00",915,1.65,1.70,105,-0.25,1.70,43.69,"9,953","1,050","2,605",
,2,1,2,65.01,"6,521.65",31.65,360,"6,384.70","6,517.60",75,"41,000.00","18,195",1.60,1.65,"5,295",-0.25,1.65,40.48,"63,957","13,569","24,170",
,-,-,-,-,-,-,750,"5,219.65","6,215.85",750,"41,500.00",300,2.30,2.35,"2,100",-0.10,2.30,38.79,"22,485","7,082","7,446",
,1,-,2,-,"5,364.85",-40.40,225,"5,378.75","5,650.50",750,"42,000.00","5,370",2.30,2.35,915,-0.55,2.40,35.73,"30,456","8,148","9,944",
,16,-,-,-,-,-,750,"4,687.85","5,181.10",750,"42,500.00","4,860",2.35,2.40,"2,580",-1.10,2.40,32.74,"24,118","1,599","3,864",
,88,-1,3,-,"4,460.00",-30.25,75,"4,402.05","4,540.90",750,"43,000.00","3,075",2.60,2.70,"4,245",-52.05,2.65,30.05,"47,750","4,545","4,545",
,69,-,-,-,-,-,750,"3,706.00","4,132.10",750,"43,500.00","1,140",3.10,3.15,"4,530",-1.75,3.10,27.30,"1,28,500","-9,669","42,537",
,192,-,3,41.24,"3,550.00",88.70,120,"3,367.05","3,478.00",120,"44,000.00","3,090",3.65,3.70,"9,600",-2.00,3.70,24.52,"2,48,022","7,268","47,911",
,2,-,-,-,-,-,750,"3,026.45","3,433.45",750,"44,200.00",480,3.85,3.90,"1,605",-2.50,3.90,23.41,"49,851","-1,821","11,727",
,-,-,-,-,-,-,750,"2,931.40","3,322.35",750,"44,300.00","1,380",4.05,4.10,720,-2.35,4.10,22.93,"29,433","1,962","4,050",
,1,-,-,-,-,-,750,"2,834.50","3,263.50",750,"44,400.00","1,515",4.30,4.35,675,-2.20,4.35,22.34,"39,285","2,820","4,014",
,564,-5,17,-,"2,835.70",-189.85,150,"2,948.45","2,970.00",30,"44,500.00","7,725",4.65,4.70,"4,650",-2.25,4.75,21.92,"3,67,960","17,293","44,325",
,12,-,-,-,-,-,750,"2,638.20","3,019.90",750,"44,600.00","2,565",5.20,5.30,"2,460",-1.95,5.30,21.65,"60,516",833,"3,500",
,2,-,-,-,-,-,750,"2,536.40","2,963.25",750,"44,700.00","2,205",5.60,5.65,780,-2.05,5.65,21.13,"62,780","2,861","5,616",
,9,-,-,-,-,-,750,"2,536.55","2,772.30",750,"44,800.00","1,170",6.15,6.20,"3,630",-2.05,6.20,20.73,"1,10,118","6,359","11,383",
,8,-,-,-,-,-,750,"2,401.20","2,716.75",750,"44,900.00","4,545",6.85,6.95,"2,130",-1.90,7.00,20.32,"1,11,138","5,515","11,461",
,974,-16,103,-,"2,303.80",-180.10,75,"2,456.60","2,468.90",45,"45,000.00","4,575",7.70,7.75,"6,090",-1.75,7.75,19.95,"7,17,602","47,747","1,28,085",
,15,-,-,-,-,-,900,"2,285.50","2,484.25",750,"45,100.00","2,475",8.45,8.55,"3,600",-1.75,8.60,19.56,"1,58,973","-1,921","14,365",
,9,-,-,-,-,-,900,"2,187.00","2,377.60",750,"45,200.00","1,815",9.65,9.75,"3,465",-1.25,9.80,19.16,"1,69,939","11,187","22,445",
,20,-,-,-,-,-,900,"2,088.75","2,268.55",750,"45,300.00","2,340",10.90,10.95,795,-1.35,10.90,18.80,"1,44,683","7,800","17,187",
,21,2,6,28.16,"2,157.75",117.75,180,"2,008.05","2,140.70",750,"45,400.00","1,620",12.30,12.35,990,-1.30,12.30,18.40,"1,80,432","8,173","17,275",
,526,5,59,-,"1,958.05",-48.55,450,"1,967.60","1,974.65",90,"45,500.00","3,360",14.25,14.35,"1,095",-1.30,14.25,18.08,"6,08,608","18,809","97,651",
,28,13,27,19.62,"1,898.25",6.75,45,"1,865.30","1,895.55",45,"45,600.00",105,16.25,16.35,"1,725",-1.15,16.25,17.72,"2,63,445","23,950","50,254",
,117,57,398,-,"1,780.00",-25.50,45,"1,773.95","1,782.90",225,"45,700.00","1,620",19.10,19.25,"1,050",-0.75,19.20,17.47,"2,71,336","13,589","26,223",
,14,-,17,20.87,"1,723.40",23.00,75,"1,671.60","1,686.30",180,"45,800.00","1,665",22.30,22.45,"1,140",-1.50,22.30,17.15,"2,84,786","7,576","26,862",
,29,-,-,-,-,-,15,"1,535.45","1,645.70",765,"45,900.00",30,26.35,26.50,"1,515",-1.85,26.40,16.89,"2,21,405","7,742","21,057",
,"1,853",218,"2,091",14.41,"1,479.35",-40.85,225,"1,485.65","1,489.00",135,"46,000.00","2,355",31.40,31.45,285,-2.25,31.45,16.70,"7,30,277","43,984","99,743",
,53,11,54,20.14,"1,448.80",34.25,150,"1,389.90","1,400.80",150,"46,100.00",240,36.75,36.95,"1,185",-2.90,36.85,16.38,"2,82,370","13,330","26,702",
,153,-3,132,12.58,"1,286.40",-35.25,45,"1,297.95","1,306.00",30,"46,200.00",270,43.85,44.05,75,-3.20,43.95,16.17,"3,08,294","33,021","56,121",
,209,38,181,14.85,"1,211.60",-49.05,150,"1,207.40","1,215.50",15,"46,300.00",45,51.70,51.90,735,-3.40,51.90,15.89,"3,13,346","6,764","22,090",
,244,16,578,14.60,"1,115.00",-49.60,45,"1,116.80","1,123.30",75,"46,400.00",435,61.35,61.60,720,-3.40,61.30,15.67,"3,92,219","9,164","20,069",
,"4,022","1,448","14,025",15.88,"1,020.00",-50.80,90,"1,028.45","1,031.70",330,"46,500.00",555,72.90,73.15,555,-5.15,73.10,15.47,"7,94,291","24,216","70,638",
,624,216,"2,452",15.45,948.80,-49.35,120,944.00,946.75,300,"46,600.00",15,86.60,86.85,390,-4.65,86.70,15.27,"4,92,387","14,226","24,179",
,897,239,"5,736",14.32,852.00,-54.60,15,859.85,862.20,120,"46,700.00",450,102.65,102.95,555,-5.80,102.20,15.07,"6,20,249","18,389","29,559",
,"2,090",330,"9,528",15.02,775.00,-54.55,225,778.60,780.75,45,"46,800.00",450,121.60,121.95,390,-6.40,121.75,14.90,"7,08,157","19,418","32,217",
,"1,648",695,"11,828",15.14,701.85,-43.85,30,701.20,702.95,165,"46,900.00",90,143.60,143.90,75,-6.50,143.80,14.72,"6,06,913","20,151","32,717",
,"18,625","4,814","1,70,414",14.68,628.10,-42.55,120,627.50,629.10,270,"47,000.00",240,169.15,169.55,30,-6.90,169.65,14.58,"15,05,284","38,680","1,06,883",
,"6,972","3,193","78,524",14.70,557.85,-43.70,120,556.80,557.95,225,"47,100.00",60,198.70,199.10,75,-8.65,199.10,14.45,"8,38,525","22,448","39,023",
,"21,974","10,577","2,87,828",14.40,491.10,-41.85,210,490.60,491.70,180,"47,200.00",120,231.85,232.35,15,-10.00,232.75,14.30,"14,94,602","53,231","82,476",
,"50,789","23,878","7,57,203",14.36,430.60,-39.10,60,429.35,430.15,60,"47,300.00",405,269.90,270.40,15,-9.20,269.90,14.20,"17,53,009","42,342","76,911",
,"67,823","40,447","13,35,847",14.18,372.30,-40.40,30,371.40,372.15,45,"47,400.00",210,312.10,312.70,30,-5.30,313.10,14.06,"21,25,173","45,560","71,168",
,"1,88,862","1,15,845","33,45,273",14.05,318.85,-39.75,270,318.20,318.80,15,"47,500.00",30,359.40,360.20,90,-4.65,360.20,13.93,"37,81,773","67,021","1,22,696",
,"1,32,112","1,11,852","28,18,335",13.92,271.00,-38.55,195,270.55,271.15,285,"47,600.00",75,411.40,412.15,15,-7.90,412.50,13.83,"24,36,902","41,508","51,259",
,"1,11,514","90,489","23,38,987",13.84,227.85,-37.10,330,227.85,228.35,375,"47,700.00",60,468.80,469.80,270,3.10,468.80,13.77,"11,64,364","17,816","23,451",
,"92,027","69,085","16,19,314",13.73,190.50,-33.70,45,190.05,190.45,150,"47,800.00",135,530.70,531.85,90,4.70,530.85,13.70,"5,49,595","8,262","13,586",
,"54,532","39,453","8,71,972",13.70,157.20,-32.05,45,156.95,157.35,360,"47,900.00",195,597.35,598.95,225,1.15,597.55,13.56,"1,74,867","2,688","6,122",
,"1,49,024","78,959","17,23,134",13.58,128.15,-28.95,225,128.10,128.40,330,"48,000.00",75,668.55,669.95,15,11.95,668.95,13.51,"2,38,686","6,572","25,411",
,"38,572","22,557","6,11,944",13.56,104.75,-26.30,195,104.10,104.35,360,"48,100.00",15,744.25,746.15,30,21.30,749.40,13.29,"26,369",479,"1,804",
,"70,815","43,533","7,17,766",13.51,84.10,-25.15,180,83.85,84.10,270,"48,200.00",75,823.05,825.30,135,22.95,831.60,14.45,"20,535",77,"4,029",
,"51,032","21,973","6,83,231",13.53,67.35,-21.50,570,67.25,67.45,15,"48,300.00",30,905.80,908.80,120,18.45,901.60,13.03,"6,724",933,"2,845",
,"52,320","35,514","5,38,253",13.53,53.65,-18.80,270,53.70,53.90,"1,545","48,400.00",45,992.55,995.20,120,3.45,981.25,14.81,"4,468",215,"1,223",
,"99,488","33,742","9,07,817",13.61,43.20,-15.05,840,43.00,43.10,930,"48,500.00",120,"1,081.60","1,084.75",15,39.20,"1,093.10",15.60,"13,936","1,078","4,192",
,"56,192","31,339","4,48,371",13.65,34.15,-12.35,"1,050",34.05,34.20,705,"48,600.00",225,"1,172.35","1,176.20",285,5.00,"1,149.90",14.97,"2,772",674,932,
,"38,790","16,606","4,11,262",13.84,27.70,-9.70,855,27.60,27.75,"1,155","48,700.00",15,"1,264.30","1,271.55",180,-5.80,"1,245.70",17.09,"1,559",179,639,
,"38,808","22,810","3,78,982",13.95,22.55,-8.25,810,22.45,22.60,"1,665","48,800.00",75,"1,357.25","1,366.15",45,-46.80,"1,300.00",-,277,7,305,
,"27,942","13,656","3,41,790",14.17,18.50,-6.40,"2,235",18.65,18.75,"1,140","48,900.00",180,"1,454.05","1,462.30",45,42.70,"1,468.40",14.50,483,193,302,
,"1,18,520","51,730","7,64,940",14.45,15.80,-5.05,"2,265",15.75,15.85,"4,515","49,000.00",15,"1,551.35","1,558.25",15,24.40,"1,560.05",15.90,"2,704",31,"1,145",
,"21,981","14,252","2,09,075",14.76,13.50,-3.75,"2,070",13.55,13.65,"1,035","49,100.00",15,"1,647.20","1,660.00",180,-93.25,"1,517.20",-,23,11,496,
,"69,852","54,759","3,16,176",15.08,11.90,-2.70,"2,385",11.85,11.95,"2,610","49,200.00",45,"1,745.45","1,754.30",15,211.80,"1,878.10",28.62,143,11,82,
,"23,721","15,847","1,72,332",15.38,10.10,-2.15,"1,680",10.10,10.15,330,"49,300.00",180,"1,800.10","1,858.05",180,-167.70,"1,681.45",-,20,1,29,
,"21,844","11,728","1,59,016",15.81,9.10,-1.35,270,9.10,9.20,"3,165","49,400.00",750,"1,876.55","1,956.20",30,-67.40,"1,840.45",-,11,-5,48,
,"97,316","57,950","4,86,769",16.16,8.20,-1.00,"4,335",8.15,8.25,"9,780","49,500.00",30,"2,042.15","2,050.40",45,4.35,"2,020.85",-,225,-8,366,
,"35,476","18,812","1,66,434",16.50,7.10,-0.50,"1,530",7.05,7.10,60,"49,600.00",750,"2,053.65","2,174.85",225,-66.85,"1,993.70",-,12,11,23,
,"21,848","4,336","1,22,630",16.95,6.60,-0.25,"2,295",6.55,6.65,"2,865","49,700.00",180,"2,207.45","2,277.65",180,-69.15,"2,120.25",-,2,1,30,
,"21,481","14,568","1,16,881",17.30,5.85,-0.65,"1,455",5.85,5.95,"1,800","49,800.00",225,"2,305.25","2,426.40",225,-157.80,"2,121.85",-,2,1,3,
,"16,300","11,425","85,254",17.79,5.65,-0.30,"4,785",5.65,5.75,"1,050","49,900.00",180,"2,354.10","2,513.90",180,228.05,"2,305.85",-,29,10,11,
,"1,19,817","58,259","4,56,642",18.19,5.25,-0.50,"5,640",5.25,5.30,"6,495","50,000.00",75,"2,535.80","2,548.15",180,162.85,"2,650.00",34.55,31,-,428,
,"19,735","16,485","94,263",18.59,4.85,-0.35,"1,605",4.80,4.85,"1,560","50,100.00",750,"2,482.70","2,894.20",885,-,-,-,-,-,1,
,"12,602","9,288","68,860",19.13,4.70,-0.40,"2,910",4.60,4.70,"1,290","50,200.00",750,"2,531.60","2,969.35",750,-,-,-,-,-,3,
,"9,290","5,310","66,703",19.67,4.50,-0.40,"3,030",4.50,4.55,"1,065","50,300.00",750,"2,706.05","2,971.40",750,815.95,"2,587.55",-,2,1,14,
,"6,111","4,426","51,036",20.14,4.40,-0.40,"2,085",4.40,4.45,585,"50,400.00",750,"2,741.90","3,173.25",750,-,-,-,-,-,2,
,"41,026","19,225","2,37,058",20.62,4.20,-0.65,"5,085",4.15,4.20,"9,105","50,500.00",750,"2,905.85","3,283.90",750,-,-,-,-,-,"1,623",
,"4,824","3,374","37,137",21.13,4.10,-0.55,930,4.10,4.15,300,"50,600.00",750,"2,926.05","3,378.75",750,-,-,-,-,-,2,
,"4,862","4,323","41,670",21.61,3.95,-0.90,"1,800",3.95,4.00,30,"50,700.00",750,"3,029.60","3,480.40",750,-,-,-,-,-,2,
,"4,004","2,743","29,595",22.10,3.85,-0.90,"1,890",3.85,3.90,"1,950","50,800.00",750,"3,135.40","3,580.85",750,-,-,-,-,-,4,
,"4,039","3,560","28,407",22.55,3.75,-1.00,"1,965",3.70,3.75,165,"50,900.00",750,"3,267.95","3,686.60",750,-,-,-,-,-,5,
,"80,586","23,009","2,33,673",23.07,3.60,-0.95,"5,985",3.60,3.65,"6,795","51,000.00",750,"3,365.60","3,780.20",750,-,-,-,-,-,4,
,"3,517","3,445","26,541",23.58,3.60,-0.55,"1,950",3.60,3.70,"1,260","51,100.00",750,"3,403.25","4,282.25",750,-,-,-,-,-,-,
,"4,930","3,556","28,011",24.09,3.55,-0.80,240,3.55,3.60,480,"51,200.00",750,"3,505.15","4,406.30",750,-,-,-,-,-,-,
,"13,531","7,742","91,436",25.33,3.10,-1.10,"5,460",3.10,3.15,"2,565","51,500.00",750,"3,395.30","4,789.45",750,-,-,-,-,-,-,
,"26,404","9,564","1,04,430",27.81,3.05,-1.20,"3,990",3.00,3.05,"4,515","52,000.00",300,"4,210.25","5,271.95",885,-,-,-,-,-,1,
,"18,678","16,067","56,832",30.49,3.05,-0.90,"1,485",3.10,3.15,630,"52,500.00",750,"4,770.75","5,788.65",750,-,-,-,-,-,-,
,"11,609","1,193","25,102",32.67,2.80,-0.65,375,2.80,2.85,285,"53,000.00",300,"5,126.75","6,609.20",885,-,-,-,-,-,2,
,"1,968","1,538","10,985",35.07,2.75,-0.50,645,2.70,2.80,465,"53,500.00",750,"5,745.20","6,661.80",750,-,-,-,-,-,-,
,"18,163","-7,427","30,880",36.97,2.35,-0.80,"1,095",2.30,2.35,285,"54,000.00",750,"6,232.25","7,251.15",750,-,-,-,-,-,-,
,"2,785",716,"11,968",39.33,2.40,-0.55,465,2.40,2.45,345,"54,500.00",750,"6,718.90","7,301.65",750,-,-,-,-,-,1,
,"29,569","9,510","59,871",41.20,2.20,-0.70,600,2.15,2.20,"2,490","55,000.00",750,"7,206.10","7,815.75",750,-,-,-,-,-,-,
,"38,442","1,580","50,668",43.26,2.20,-0.60,"1,410",2.15,2.20,600,"55,500.00",750,"7,696.65","8,327.60",750,-31.95,"7,995.00",-,8,7,7,
